,age,income,savings_rate,debt_ratio,purchase_power,purchasing_power,purchase_class
0,57,52651.67,0.07,0.42,21029.01,22.28,0
1,47,57833.38,0.22,0.43,23525.62,24.03,0
2,33,91580.17,0.22,0.52,27732.16,26.97,0
3,26,42537.86,0.22,0.39,14752.88,17.89,0
4,39,50845.7,0.29,0.33,24869.56,24.96,0
5,57,54034.24,0.26,0.42,11625.16,15.71,0
6,37,47031.73,0.06,0.25,37548.1,33.83,1
7,41,67958.6,0.17,0.19,48749.71,41.66,1
8,29,47802.72,0.15,0.41,21757.53,22.79,0
9,29,46151.74,0.13,0.22,30782.15,29.1,1
10,42,54526.13,0.16,0.14,43388.79,37.91,1
11,54,58108.98,0.15,0.1,41722.71,36.75,1
12,58,57670.08,0.16,0.4,17882.3,20.08,0
13,42,55387.85,0.29,0.28,28712.71,27.65,1
14,21,35831.88,0.07,0.48,7593.02,12.89,0
15,40,60600.18,0.28,0.29,31604.19,29.67,1
16,20,36342.18,0.17,0.34,7489.02,12.81,0
17,42,62920.59,0.21,0.3,36283.71,32.94,1
18,48,53598.42,0.26,0.43,19886.36,21.48,0
19,56,78276.69,0.14,0.28,40883.06,36.16,1
20,20,40554.46,0.16,0.58,265.88,7.76,0
21,39,54553.96,0.15,0.57,20512.51,21.92,0
22,51,67199.0,0.14,0.52,23119.57,23.74,0
23,30,53104.98,0.28,0.56,10043.86,14.6,0
24,40,43975.95,0.26,0.32,23888.06,24.28,0
25,43,68352.47,0.08,0.37,43201.01,37.78,1
26,45,50481.67,0.08,0.47,27287.46,26.66,0
27,46,81082.93,0.16,0.45,36171.11,32.87,1
28,34,54675.37,0.07,0.55,24907.25,24.99,0
29,33,71998.44,0.2,0.46,27733.4,26.97,0
30,21,32565.1,0.09,0.6,1696.05,8.76,0
31,55,60075.64,0.18,0.27,29407.78,28.14,1
32,25,73184.51,0.05,0.52,28352.36,27.4,1
33,39,57536.32,0.13,0.45,29574.69,28.25,1
34,27,42589.66,0.22,0.45,13124.68,16.75,0
35,57,69241.87,0.17,0.26,33266.41,30.84,1
36,36,71224.19,0.29,0.49,19901.16,21.49,0
37,22,35285.68,0.27,0.55,-684.32,7.1,0
38,43,43244.0,0.14,0.21,33307.49,30.86,1
